event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,undock,2026-08-27T17:56:57.576754,2026-08-27T17:57:01.585678,robot1,m2,s8
e2,Control,move_to,2026-08-27T17:57:01.588579,2026-08-27T17:57:18.090252,robot1,m2,s8
e3,Task,check_room,2026-08-27T17:57:18.093023,2026-08-27T17:57:28.589391,robot1,m2,s8
e4,Control,move_to,2026-08-27T17:57:31.518382,2026-08-27T17:57:48.614785,robot1,m2,s2
e5,Task,vacuum,2026-08-27T17:57:48.616871,2026-08-27T17:57:59.134242,robot1,m2,s2
e6,Control,move_to,2026-08-27T17:57:59.525603,2026-08-27T17:58:04.004063,robot1,m2,s4
e7,Task,vacuum,2026-08-27T17:58:04.006510,2026-08-27T17:58:18.015138,robot1,m2,s4
e8,Control,move_to,2026-08-27T17:58:18.527109,2026-08-27T17:58:21.361373,robot1,m2,s7
e9,Task,vacuum,2026-08-27T17:58:21.364128,2026-08-27T17:58:31.869705,robot1,m2,s7
e10,Control,move_to,2026-08-27T17:58:32.518260,2026-08-27T17:58:46.666983,robot1,m2,s8
e11,Task,vacuum,2026-08-27T17:58:46.668626,2026-08-27T17:59:11.175006,robot1,m2,s8
e12,Control,move_to,2026-08-27T17:59:20.515844,2026-08-27T17:59:38.635168,robot1,m2,s3
e13,Task,disinfect,2026-08-27T17:59:38.637408,2026-08-27T17:59:52.646962,robot1,m2,s3
e14,Control,undock,2026-08-27T17:56:57.524781,2026-08-27T17:57:01.529893,robot2,m2,s2
e15,Control,move_to,2026-08-27T17:57:01.530403,2026-08-27T17:57:23.884643,robot2,m2,s2
e16,Task,check_room,2026-08-27T17:57:23.886314,2026-08-27T17:57:28.391166,robot2,m2,s2
e17,Control,move_to,2026-08-27T17:57:28.557964,2026-08-27T17:57:48.562848,robot2,m2,s1
e18,Task,vacuum,2026-08-27T17:57:48.564600,2026-08-27T17:58:09.581964,robot2,m2,s1
e19,Control,move_to,2026-08-27T17:58:10.516397,2026-08-27T17:58:26.645755,robot2,m2,s5
e20,Task,vacuum,2026-08-27T17:58:26.646506,2026-08-27T17:58:44.156622,robot2,m2,s5
e21,Control,move_to,2026-08-27T17:58:44.524656,2026-08-27T17:58:54.528518,robot2,m2,s4
e22,Task,disinfect,2026-08-27T17:58:54.529673,2026-08-27T17:59:02.533551,robot2,m2,s4
e23,Task,final_room_check,2026-08-27T17:59:05.525974,2026-08-27T17:59:11.529134,robot2,m2,s4
e24,Control,move_to,2026-08-27T17:59:23.521911,2026-08-27T17:59:37.950888,robot2,m2,s1
e25,Task,final_room_check,2026-08-27T17:59:37.952422,2026-08-27T17:59:46.961554,robot2,m2,s1
e26,Control,move_to,2026-08-27T17:59:55.520849,2026-08-27T18:00:09.670848,robot2,m2,s3
e27,Task,final_room_check,2026-08-27T18:00:09.673695,2026-08-27T18:00:20.179092,robot2,m2,s3
e28,Control,undock,2026-08-27T17:56:57.543722,2026-08-27T17:57:01.547037,robot3,m2,s6
e29,Control,move_to,2026-08-27T17:57:01.547741,2026-08-27T17:57:28.376200,robot3,m2,s6
e30,Task,check_room,2026-08-27T17:57:28.378335,2026-08-27T17:57:37.386248,robot3,m2,s6
e31,Control,move_to,2026-08-27T17:57:37.534948,2026-08-27T17:57:49.203289,robot3,m2,s3
e32,Task,vacuum,2026-08-27T17:57:49.205709,2026-08-27T17:58:13.721656,robot3,m2,s3
e33,Control,move_to,2026-08-27T17:58:14.528932,2026-08-27T17:58:33.506927,robot3,m2,s6
e34,Task,vacuum,2026-08-27T17:58:33.507831,2026-08-27T17:58:54.514760,robot3,m2,s6
e35,Control,move_to,2026-08-27T17:58:57.548170,2026-08-27T17:59:03.882575,robot3,m2,s7
e36,Task,disinfect,2026-08-27T17:59:03.886582,2026-08-27T17:59:09.895644,robot3,m2,s7
e37,Control,move_to,2026-08-27T17:59:41.526596,2026-08-27T17:59:50.020133,robot3,m2,s6
e38,Task,disinfect,2026-08-27T17:59:50.022541,2026-08-27T18:00:02.027828,robot3,m2,s6
e39,Control,undock,2026-08-27T17:56:57.527045,2026-08-27T17:57:01.530392,robot4,m2,s1
e40,Control,move_to,2026-08-27T17:57:01.530892,2026-08-27T17:57:10.479665,robot4,m2,s1
e41,Task,check_room,2026-08-27T17:57:10.481230,2026-08-27T17:57:19.503743,robot4,m2,s1
e42,Control,move_to,2026-08-27T17:58:27.538418,2026-08-27T17:58:39.710909,robot4,m2,s2
e43,Task,disinfect,2026-08-27T17:58:39.713006,2026-08-27T17:58:45.721315,robot4,m2,s2
e44,Control,move_to,2026-08-27T17:58:48.530343,2026-08-27T17:59:08.537578,robot4,m2,s1
e45,Task,disinfect,2026-08-27T17:59:08.539072,2026-08-27T17:59:20.543797,robot4,m2,s1
e46,Control,undock,2026-08-27T17:58:14.530110,2026-08-27T17:58:18.533036,robot5,m2,s3
e47,Control,move_to,2026-08-27T17:58:18.533809,2026-08-27T17:58:41.341969,robot5,m2,s3
e48,Task,mop,2026-08-27T17:58:41.342978,2026-08-27T17:59:19.868279,robot5,m2,s3
e49,Control,move_to,2026-08-27T17:59:29.519795,2026-08-27T17:59:47.529773,robot5,m2,s5
e50,Task,disinfect,2026-08-27T17:59:47.531573,2026-08-27T17:59:57.538690,robot5,m2,s5
e51,Control,move_to,2026-08-27T18:00:11.518038,2026-08-27T18:00:33.070153,robot5,m2,s8
e52,Task,disinfect,2026-08-27T18:00:33.073236,2026-08-27T18:00:47.081461,robot5,m2,s8
e53,Control,undock,2026-08-27T17:56:57.536077,2026-08-27T17:57:01.541896,robot6,m2,s5
e54,Control,move_to,2026-08-27T17:57:01.542593,2026-08-27T17:57:26.277341,robot6,m2,s5
e55,Task,check_room,2026-08-27T17:57:26.279538,2026-08-27T17:57:33.787049,robot6,m2,s5
e56,Control,move_to,2026-08-27T17:58:46.527565,2026-08-27T17:59:01.094556,robot6,m2,s2
e57,Task,final_room_check,2026-08-27T17:59:01.096995,2026-08-27T17:59:05.604068,robot6,m2,s2
e58,Control,move_to,2026-08-27T17:59:13.548467,2026-08-27T17:59:30.050677,robot6,m2,s8
e59,Task,mop,2026-08-27T17:59:30.053165,2026-08-27T18:00:08.562488,robot6,m2,s8
e60,Control,undock,2026-08-27T17:56:57.526769,2026-08-27T17:57:01.533687,robot7,m2,s4
e61,Control,move_to,2026-08-27T17:57:01.534269,2026-08-27T17:57:25.612344,robot7,m2,s4
e62,Task,check_room,2026-08-27T17:57:25.615300,2026-08-27T17:57:31.623184,robot7,m2,s4
e63,Control,move_to,2026-08-27T17:58:01.527927,2026-08-27T17:58:08.746057,robot7,m2,s2
e64,Task,mop,2026-08-27T17:58:08.748892,2026-08-27T17:58:25.258026,robot7,m2,s2
e65,Control,move_to,2026-08-27T17:58:32.516628,2026-08-27T17:58:38.847291,robot7,m2,s7
e66,Task,mop,2026-08-27T17:58:38.849428,2026-08-27T17:58:55.356758,robot7,m2,s7
e67,Control,move_to,2026-08-27T17:58:57.549637,2026-08-27T17:59:06.061375,robot7,m2,s6
e68,Task,mop,2026-08-27T17:59:06.069980,2026-08-27T17:59:39.085866,robot7,m2,s6
e69,Control,undock,2026-08-27T17:56:57.534204,2026-08-27T17:57:01.541908,robot8,m2,s3
e70,Control,move_to,2026-08-27T17:57:01.542588,2026-08-27T17:57:24.339267,robot8,m2,s3
e71,Task,check_room,2026-08-27T17:57:24.340506,2026-08-27T17:57:34.847315,robot8,m2,s3
e72,Control,move_to,2026-08-27T17:58:10.515312,2026-08-27T17:58:13.351810,robot8,m2,s1
e73,Task,mop,2026-08-27T17:58:13.354213,2026-08-27T17:58:46.362019,robot8,m2,s1
e74,Control,move_to,2026-08-27T17:59:10.513962,2026-08-27T17:59:22.180195,robot8,m2,s7
e75,Task,final_room_check,2026-08-27T17:59:22.180876,2026-08-27T17:59:26.687709,robot8,m2,s7
e76,Control,move_to,2026-08-27T18:00:02.515544,2026-08-27T18:00:11.010850,robot8,m2,s6
e77,Task,final_room_check,2026-08-27T18:00:11.012938,2026-08-27T18:00:20.019666,robot8,m2,s6
e78,Control,undock,2026-08-27T17:56:57.543552,2026-08-27T17:57:01.547039,robot9,m2,s7
e79,Control,move_to,2026-08-27T17:57:01.547676,2026-08-27T17:57:24.343518,robot9,m2,s7
e80,Task,check_room,2026-08-27T17:57:24.344434,2026-08-27T17:57:28.850590,robot9,m2,s7
e81,Control,move_to,2026-08-27T17:58:18.533352,2026-08-27T17:58:20.536492,robot9,m2,s4
e82,Task,mop,2026-08-27T17:58:20.537142,2026-08-27T17:58:42.540409,robot9,m2,s4
e83,Control,move_to,2026-08-27T17:58:46.525131,2026-08-27T17:58:59.337429,robot9,m2,s5
e84,Task,mop,2026-08-27T17:58:59.339449,2026-08-27T17:59:26.848840,robot9,m2,s5
e85,Task,final_room_check,2026-08-27T17:59:58.520584,2026-08-27T18:00:06.027957,robot9,m2,s5
e86,Control,move_to,2026-08-27T18:00:49.523255,2026-08-27T18:01:11.073568,robot9,m2,s8
e87,Task,final_room_check,2026-08-27T18:01:11.076667,2026-08-27T18:01:21.584446,robot9,m2,s8
