event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,undock,2026-08-27T19:24:49.520264,2026-08-27T19:24:53.523309,robot1,m3,s5
e2,Control,move_to,2026-08-27T19:24:53.524150,2026-08-27T19:25:18.269685,robot1,m3,s5
e3,Task,check_room,2026-08-27T19:25:18.271585,2026-08-27T19:25:25.777493,robot1,m3,s5
e4,Control,move_to,2026-08-27T19:25:26.520825,2026-08-27T19:25:41.087879,robot1,m3,s2
e5,Task,vacuum,2026-08-27T19:25:41.089879,2026-08-27T19:25:51.597840,robot1,m3,s2
e6,Control,move_to,2026-08-27T19:25:52.518790,2026-08-27T19:25:56.998546,robot1,m3,s4
e7,Task,vacuum,2026-08-27T19:25:57.001402,2026-08-27T19:26:11.009151,robot1,m3,s4
e8,Control,move_to,2026-08-27T19:26:11.512600,2026-08-27T19:26:14.347244,robot1,m3,s7
e9,Task,vacuum,2026-08-27T19:26:14.350252,2026-08-27T19:26:24.859834,robot1,m3,s7
e10,Control,move_to,2026-08-27T19:26:25.516794,2026-08-27T19:26:39.662278,robot1,m3,s8
e11,Task,vacuum,2026-08-27T19:26:39.662962,2026-08-27T19:27:04.165352,robot1,m3,s8
e12,Control,move_to,2026-08-27T19:27:04.504980,2026-08-27T19:27:22.623012,robot1,m3,s3
e13,Task,disinfect,2026-08-27T19:27:22.625058,2026-08-27T19:27:36.630129,robot1,m3,s3
e14,Task,final_room_check,2026-08-27T19:27:39.514495,2026-08-27T19:27:50.022404,robot1,m3,s3
e15,Control,move_to,2026-08-27T19:27:50.499771,2026-08-27T19:28:39.332304,robot1,m3,s11
e16,Task,vacuum,2026-08-27T19:28:39.334558,2026-08-27T19:29:00.342048,robot1,m3,s11
e17,Control,move_to,2026-08-27T19:29:00.515725,2026-08-27T19:29:15.081763,robot1,m3,s14
e18,Task,vacuum,2026-08-27T19:29:15.084100,2026-08-27T19:29:29.091167,robot1,m3,s14
e19,Control,move_to,2026-08-27T19:29:47.514024,2026-08-27T19:29:56.464506,robot1,m3,s11
e20,Task,disinfect,2026-08-27T19:29:56.466280,2026-08-27T19:30:08.473348,robot1,m3,s11
e21,Control,move_to,2026-08-27T19:30:13.529094,2026-08-27T19:30:28.769195,robot1,m3,s12
e22,Task,disinfect,2026-08-27T19:30:28.771997,2026-08-27T19:30:34.781033,robot1,m3,s12
e23,Control,move_to,2026-08-27T19:30:37.534639,2026-08-27T19:31:12.471888,robot1,m3,s13
e24,Task,disinfect,2026-08-27T19:31:12.474874,2026-08-27T19:31:26.481794,robot1,m3,s13
e25,Control,undock,2026-08-27T19:24:49.519875,2026-08-27T19:24:53.523416,robot2,m3,s6
e26,Control,move_to,2026-08-27T19:24:53.524127,2026-08-27T19:25:20.363235,robot2,m3,s6
e27,Task,check_room,2026-08-27T19:25:20.365417,2026-08-27T19:25:29.371663,robot2,m3,s6
e28,Control,move_to,2026-08-27T19:25:29.506887,2026-08-27T19:25:41.175032,robot2,m3,s3
e29,Task,vacuum,2026-08-27T19:25:41.176714,2026-08-27T19:26:05.683586,robot2,m3,s3
e30,Control,move_to,2026-08-27T19:26:06.524799,2026-08-27T19:26:25.501100,robot2,m3,s6
e31,Task,vacuum,2026-08-27T19:26:25.502086,2026-08-27T19:26:46.506919,robot2,m3,s6
e32,Control,move_to,2026-08-27T19:26:47.528233,2026-08-27T19:27:17.544408,robot2,m3,s10
e33,Task,vacuum,2026-08-27T19:27:17.545331,2026-08-27T19:27:35.050268,robot2,m3,s10
