event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,undock,2026-08-27T18:34:33.542764,2026-08-27T18:34:37.555784,robot1,m2,s1
e2,Control,move_to,2026-08-27T18:34:37.557058,2026-08-27T18:34:46.507277,robot1,m2,s1
e3,Task,check_room,2026-08-27T18:34:46.508911,2026-08-27T18:34:55.515026,robot1,m2,s1
e4,Task,vacuum,2026-08-27T18:34:56.538731,2026-08-27T18:35:17.543219,robot1,m2,s1
e5,Control,move_to,2026-08-27T18:35:18.540560,2026-08-27T18:35:31.352682,robot1,m2,s4
e6,Task,vacuum,2026-08-27T18:35:31.354709,2026-08-27T18:35:45.362673,robot1,m2,s4
e7,Control,move_to,2026-08-27T18:35:45.540880,2026-08-27T18:35:54.491174,robot1,m2,s6
e8,Task,vacuum,2026-08-27T18:35:54.493887,2026-08-27T18:36:15.502347,robot1,m2,s6
e9,Control,move_to,2026-08-27T18:36:19.538642,2026-08-27T18:36:26.760228,robot1,m2,s4
e10,Task,disinfect,2026-08-27T18:36:26.763176,2026-08-27T18:36:34.772135,robot1,m2,s4
e11,Task,final_room_check,2026-08-27T18:36:37.553606,2026-08-27T18:36:43.557665,robot1,m2,s4
e12,Control,move_to,2026-08-27T18:36:50.532709,2026-08-27T18:37:02.541421,robot1,m2,s8
e13,Task,final_room_check,2026-08-27T18:37:02.544263,2026-08-27T18:37:13.049674,robot1,m2,s8
e14,Control,move_to,2026-08-27T18:37:23.668525,2026-08-27T18:37:43.774413,robot1,m2,s5
e15,Task,final_room_check,2026-08-27T18:37:43.776524,2026-08-27T18:37:51.286104,robot1,m2,s5
e16,Control,move_to,2026-08-27T18:37:53.541930,2026-08-27T18:38:11.658251,robot1,m2,s3
e17,Task,final_room_check,2026-08-27T18:38:11.659122,2026-08-27T18:38:22.193709,robot1,m2,s3
e18,Control,undock,2026-08-27T18:34:33.542382,2026-08-27T18:34:37.551537,robot2,m2,s8
e19,Control,move_to,2026-08-27T18:34:37.553137,2026-08-27T18:34:54.054622,robot2,m2,s8
e20,Task,check_room,2026-08-27T18:34:54.057375,2026-08-27T18:35:04.563513,robot2,m2,s8
e21,Task,vacuum,2026-08-27T18:35:07.535831,2026-08-27T18:35:32.043644,robot2,m2,s8
e22,Control,move_to,2026-08-27T18:35:32.537809,2026-08-27T18:35:50.652496,robot2,m2,s3
e23,Task,vacuum,2026-08-27T18:35:50.653141,2026-08-27T18:36:15.158418,robot2,m2,s3
e24,Control,move_to,2026-08-27T18:36:25.540021,2026-08-27T18:36:35.743939,robot2,m2,s8
e25,Task,disinfect,2026-08-27T18:36:35.746484,2026-08-27T18:36:49.755682,robot2,m2,s8
e26,Control,move_to,2026-08-27T18:36:50.539944,2026-08-27T18:37:10.645062,robot2,m2,s5
e27,Task,disinfect,2026-08-27T18:37:10.648989,2026-08-27T18:37:20.652178,robot2,m2,s5
e28,Control,move_to,2026-08-27T18:37:22.535167,2026-08-27T18:37:34.537566,robot2,m2,s6
e29,Task,final_room_check,2026-08-27T18:37:34.538361,2026-08-27T18:37:43.547987,robot2,m2,s6
