event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,undock,2026-08-27T20:22:34.248161,2026-08-27T20:22:38.252266,robot1,m3,s2
e2,Control,move_to,2026-08-27T20:22:38.253039,2026-08-27T20:22:46.743544,robot1,m3,s2
e3,Control,localize,2026-08-27T20:22:46.745741,2026-08-27T20:22:51.753374,robot1,m3,s2
e4,Task,pick,2026-08-27T20:22:51.756165,2026-08-27T20:22:54.763618,robot1,m3,s2
e5,Task,move_to,2026-08-27T20:22:54.766986,2026-08-27T20:23:00.429788,robot1,m3,s2
e6,Control,localize,2026-08-27T20:23:00.432060,2026-08-27T20:23:05.437418,robot1,m3,s2
e7,Task,place,2026-08-27T20:23:05.439041,2026-08-27T20:23:08.448296,robot1,m3,s2
e8,Control,move_to,2026-08-27T20:23:09.233810,2026-08-27T20:23:18.185031,robot1,m5,s1
e9,Control,localize,2026-08-27T20:23:18.187258,2026-08-27T20:23:23.192828,robot1,m5,s1
e10,Task,pick,2026-08-27T20:23:23.193799,2026-08-27T20:23:27.202213,robot1,m5,s1
e11,Task,move_to,2026-08-27T20:23:27.206323,2026-08-27T20:23:38.529441,robot1,m5,s1
e12,Control,localize,2026-08-27T20:23:38.533839,2026-08-27T20:23:43.540620,robot1,m5,s1
e13,Task,place,2026-08-27T20:23:43.542242,2026-08-27T20:23:47.549019,robot1,m5,s1
e14,Control,move_to,2026-08-27T20:23:48.236119,2026-08-27T20:23:56.729542,robot1,m5,s3
e15,Control,localize,2026-08-27T20:23:56.732494,2026-08-27T20:24:01.739566,robot1,m5,s3
e16,Task,pick,2026-08-27T20:24:01.741270,2026-08-27T20:24:06.750030,robot1,m5,s3
e17,Task,move_to,2026-08-27T20:24:06.755310,2026-08-27T20:24:15.251933,robot1,m5,s3
e18,Control,localize,2026-08-27T20:24:15.256368,2026-08-27T20:24:20.274827,robot1,m5,s3
e19,Task,place,2026-08-27T20:24:20.276491,2026-08-27T20:24:25.281018,robot1,m5,s3
e20,Control,move_to,2026-08-27T20:24:26.258214,2026-08-27T20:24:35.209329,robot1,m5,s4
e21,Control,localize,2026-08-27T20:24:35.212415,2026-08-27T20:24:40.221550,robot1,m5,s4
e22,Task,pick,2026-08-27T20:24:40.223253,2026-08-27T20:24:44.228186,robot1,m5,s4
e23,Task,move_to,2026-08-27T20:24:44.229845,2026-08-27T20:24:55.550538,robot1,m5,s4
e24,Control,localize,2026-08-27T20:24:55.557406,2026-08-27T20:25:00.628217,robot1,m5,s4
e25,Task,place,2026-08-27T20:25:00.629012,2026-08-27T20:25:04.634068,robot1,m5,s4
e26,Control,move_to,2026-08-27T20:25:05.234859,2026-08-27T20:25:09.715129,robot1,m7,s3
e27,Control,localize,2026-08-27T20:25:09.717547,2026-08-27T20:25:14.725818,robot1,m7,s3
e28,Task,pick,2026-08-27T20:25:14.728005,2026-08-27T20:25:17.734306,robot1,m7,s3
e29,Task,move_to,2026-08-27T20:25:17.736281,2026-08-27T20:25:23.404875,robot1,m7,s3
e30,Control,localize,2026-08-27T20:25:23.409254,2026-08-27T20:25:28.416800,robot1,m7,s3
e31,Task,place,2026-08-27T20:25:28.419054,2026-08-27T20:25:31.439609,robot1,m7,s3
e32,Control,move_to,2026-08-27T20:25:32.249830,2026-08-27T20:25:40.503523,robot1,m7,s5
e33,Control,localize,2026-08-27T20:25:40.505992,2026-08-27T20:25:45.514645,robot1,m7,s5
e34,Task,pick,2026-08-27T20:25:45.516194,2026-08-27T20:25:50.522817,robot1,m7,s5
e35,Task,move_to,2026-08-27T20:25:50.527475,2026-08-27T20:25:53.362324,robot1,m7,s5
e36,Control,localize,2026-08-27T20:25:53.366784,2026-08-27T20:25:58.376111,robot1,m7,s5
e37,Task,place,2026-08-27T20:25:58.378843,2026-08-27T20:26:03.386875,robot1,m7,s5
e38,Control,move_to,2026-08-27T20:26:04.231751,2026-08-27T20:26:13.184072,robot1,m2,s1
e39,Control,localize,2026-08-27T20:26:13.185650,2026-08-27T20:26:18.190921,robot1,m2,s1
e40,Task,pick,2026-08-27T20:26:18.192010,2026-08-27T20:26:23.197685,robot1,m2,s1
e41,Task,move_to,2026-08-27T20:26:23.204376,2026-08-27T20:26:34.524732,robot1,m2,s1
e42,Control,localize,2026-08-27T20:26:34.530649,2026-08-27T20:26:39.535601,robot1,m2,s1
e43,Task,place,2026-08-27T20:26:39.536474,2026-08-27T20:26:44.542377,robot1,m2,s1
e44,Control,move_to,2026-08-27T20:26:45.240336,2026-08-27T20:26:51.245780,robot1,m4,s1
e45,Control,localize,2026-08-27T20:26:51.247374,2026-08-27T20:26:56.252590,robot1,m4,s1
e46,Task,pick,2026-08-27T20:26:56.253467,2026-08-27T20:27:00.257179,robot1,m4,s1
e47,Task,move_to,2026-08-27T20:27:00.258581,2026-08-27T20:27:08.746840,robot1,m4,s1
e48,Control,localize,2026-08-27T20:27:08.749214,2026-08-27T20:27:13.754489,robot1,m4,s1
e49,Task,place,2026-08-27T20:27:13.756763,2026-08-27T20:27:17.764807,robot1,m4,s1
e50,Control,localize,2026-08-27T20:27:18.247007,2026-08-27T20:27:23.253493,robot1,m2,s2
e51,Task,pick,2026-08-27T20:27:23.255981,2026-08-27T20:27:25.269397,robot1,m2,s2
e52,Task,move_to,2026-08-27T20:27:25.270606,2026-08-27T20:27:33.760832,robot1,m2,s2
e53,Control,localize,2026-08-27T20:27:33.765615,2026-08-27T20:27:38.771674,robot1,m2,s2
e54,Task,place,2026-08-27T20:27:38.773754,2026-08-27T20:27:40.780259,robot1,m2,s2
e55,Control,move_to,2026-08-27T20:27:41.244927,2026-08-27T20:27:58.456650,robot1,m6,s2
