event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,undock,2026-08-27T20:55:51.634218,2026-08-27T20:55:55.641610,robot1,m3,s1
e2,Control,move_to,2026-08-27T20:55:55.644630,2026-08-27T20:56:06.424877,robot1,m3,s1
e3,Control,localize,2026-08-27T20:56:06.427638,2026-08-27T20:56:11.435754,robot1,m3,s1
e4,Task,pick,2026-08-27T20:56:11.438626,2026-08-27T20:56:15.444708,robot1,m3,s1
e5,Task,move_to,2026-08-27T20:56:15.450032,2026-08-27T20:56:23.940301,robot1,m3,s1
e6,Control,localize,2026-08-27T20:56:23.946150,2026-08-27T20:56:28.951214,robot1,m3,s1
e7,Task,place,2026-08-27T20:56:28.953001,2026-08-27T20:56:32.959929,robot1,m3,s1
e8,Control,move_to,2026-08-27T20:56:33.634754,2026-08-27T20:56:42.584472,robot1,m5,s4
e9,Control,localize,2026-08-27T20:56:42.585786,2026-08-27T20:56:47.591395,robot1,m5,s4
e10,Task,pick,2026-08-27T20:56:47.592968,2026-08-27T20:56:51.600902,robot1,m5,s4
e11,Task,move_to,2026-08-27T20:56:51.607998,2026-08-27T20:57:02.926542,robot1,m5,s4
e12,Control,localize,2026-08-27T20:57:02.927912,2026-08-27T20:57:07.933953,robot1,m5,s4
e13,Task,place,2026-08-27T20:57:07.936284,2026-08-27T20:57:11.941755,robot1,m5,s4
e14,Control,localize,2026-08-27T20:57:12.628982,2026-08-27T20:57:17.636179,robot1,m5,s2
e15,Task,pick,2026-08-27T20:57:17.638249,2026-08-27T20:57:20.643656,robot1,m5,s2
e16,Task,move_to,2026-08-27T20:57:20.646240,2026-08-27T20:57:29.138724,robot1,m5,s2
e17,Control,localize,2026-08-27T20:57:29.144504,2026-08-27T20:57:34.151956,robot1,m5,s2
e18,Task,place,2026-08-27T20:57:34.154440,2026-08-27T20:57:37.161795,robot1,m5,s2
e19,Control,move_to,2026-08-27T20:57:37.627828,2026-08-27T20:57:46.121535,robot1,m5,s4
