event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,undock,2026-08-27T20:45:40.467720,2026-08-27T20:45:44.471050,robot1,m5,s3
e2,Control,move_to,2026-08-27T20:45:44.472918,2026-08-27T20:45:50.137455,robot1,m5,s3
e3,Control,localize,2026-08-27T20:45:50.140657,2026-08-27T20:45:55.148260,robot1,m5,s3
e4,Task,pick,2026-08-27T20:45:55.150738,2026-08-27T20:46:00.156630,robot1,m5,s3
e5,Task,move_to,2026-08-27T20:46:00.159658,2026-08-27T20:46:08.651162,robot1,m5,s3
e6,Control,localize,2026-08-27T20:46:08.654274,2026-08-27T20:46:13.663415,robot1,m5,s3
e7,Task,place,2026-08-27T20:46:13.665405,2026-08-27T20:46:18.673452,robot1,m5,s3
e8,Control,move_to,2026-08-27T20:46:19.440938,2026-08-27T20:46:23.920577,robot1,m7,s3
e9,Control,localize,2026-08-27T20:46:23.923188,2026-08-27T20:46:28.931566,robot1,m7,s3
e10,Task,pick,2026-08-27T20:46:28.934918,2026-08-27T20:46:31.942394,robot1,m7,s3
e11,Task,move_to,2026-08-27T20:46:31.948623,2026-08-27T20:46:37.614230,robot1,m7,s3
e12,Control,localize,2026-08-27T20:46:37.618613,2026-08-27T20:46:42.625274,robot1,m7,s3
e13,Task,place,2026-08-27T20:46:42.627215,2026-08-27T20:46:45.631900,robot1,m7,s3
e14,Control,localize,2026-08-27T20:46:46.446712,2026-08-27T20:46:51.454808,robot1,m5,s1
e15,Task,pick,2026-08-27T20:46:51.456520,2026-08-27T20:46:55.464592,robot1,m5,s1
e16,Task,move_to,2026-08-27T20:46:55.468450,2026-08-27T20:47:03.960832,robot1,m5,s1
e17,Control,localize,2026-08-27T20:47:03.965188,2026-08-27T20:47:08.971934,robot1,m5,s1
e18,Task,place,2026-08-27T20:47:08.973305,2026-08-27T20:47:12.982278,robot1,m5,s1
e19,Control,move_to,2026-08-27T20:47:13.440608,2026-08-27T20:47:21.931017,robot1,m5,s4
e20,Control,localize,2026-08-27T20:47:21.931786,2026-08-27T20:47:26.935265,robot1,m5,s4
